Technician,Parts,Trial1,Trial2,Trial3
A,1,2.78,1.87,1.87
A,2,2.36,2.36,2.21
A,3,2.22,2.45,2.33
A,4,4.56,4.21,4.13
A,5,3.56,3.47,3.69
A,6,2.11,2.23,2.12
A,7,2.24,2.24,2.27
A,8,5.47,5.89,5.31
A,9,2.44,1.8,1.72
A,10,4.1,3.88,3.56
B,1,2.56,2.22,2.14
B,2,2.13,2.36,2.34
B,3,2.41,2.36,2.33
B,4,4.12,4.36,4.56
B,5,3.47,3.89,3.78
B,6,2.11,2.23,2.12
B,7,2.22,2.23,2.24
B,8,5.36,5.47,5.87
B,9,2.44,1.8,1.72
B,10,4.65,3.89,4
C,1,2.56,2.22,2.15
C,2,2.56,2.12,2.32
C,3,2.12,2.45,2.33
C,4,4.25,4.36,4.22
C,5,3.47,3.89,3.75
C,6,2.11,2.23,2.12
C,7,2.27,2.26,2.22
C,8,5.21,5.36,5.54
C,9,2.44,1.8,1.72
C,10,4.12,3.25,3.69
